MARK	EID	Epigenome_name	FRAGLEN
DNase	E003	H1_Cell_Line	60
DNase	E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	60
DNase	E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells	60
DNase	E006	H1_Derived_Mesenchymal_Stem_Cells		60
DNase	E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells	50
DNase	E008	H9_Cell_Line					80
DNase	E017	IMR90_Cell_Line					50
DNase	E021	iPS_DF_6.9_Cell_Line				50
DNase	E022	iPS_DF_19.11_Cell_Line				50
DNase	E028	Breast_vHMEC					80
DNase	E029	CD14_Primary_Cells				60
DNase	E032	CD19_Primary_Cells_Peripheral_UW		50
DNase	E033	CD3_Primary_Cells_Cord_BI			55
DNase	E034	CD3_Primary_Cells_Peripheral_UW			40
DNase	E046	CD56_Primary_Cells				50
DNase	E050	Mobilized_CD34_Primary_Cells_Female		50
DNase	E051	Mobilized_CD34_Primary_Cells_Male		50
DNase	E055	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	50
DNase	E056	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	55
DNase	E057	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	80
DNase	E059	Penis_Foreskin_Melanocyte_Primary_Cells_skin01		80
DNase	E080	Fetal_Adrenal_Gland					45
DNase	E081	Fetal_Brain_Male					55
DNase	E082	Fetal_Brain_Female					50
DNase	E083	Fetal_Heart						50
DNase	E084	Fetal_Intestine_Large					50
DNase	E085	Fetal_Intestine_Small					50
DNase	E086	Fetal_Kidney						40
DNase	E088	Fetal_Lung						50
DNase	E089	Fetal_Muscle_Trunk					50
DNase	E090	Fetal_Muscle_Leg					50
DNase	E091	Fetal_Placenta						50
DNase	E092	Fetal_Stomach						50
DNase	E093	Fetal_Thymus						50
DNase	E094	Gastric							55
DNase	E097	Ovary							45
DNase	E098	Pancreas						55
DNase	E100	Psoas_Muscle						55
DNase	E109	Small_Intestine						50
DNase	E114	A549_EtOH_0.02pct_Lung_Carcinoma			50
DNase	E116	GM12878_Lymphoblastoid					80
DNase	E117	HeLa-S3_Cervical_Carcinoma				100
DNase	E118	HepG2_Hepatocellular_Carcinoma				70
DNase	E119	HMEC_Mammary_Epithelial					80
DNase	E120	HSMM_Skeletal_Muscle_Myoblasts				55
DNase	E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	50
DNase	E122	HUVEC_Umbilical_Vein_Endothelial_Cells			60
DNase	E123	K562_Leukemia						80
DNase	E124	Monocytes-CD14+_RO01746					65
DNase	E125	NH-A_Astrocytes						60
DNase	E126	NHDF-Ad_Adult_Dermal_Fibroblasts			55
DNase	E127	NHEK-Epidermal_Keratinocytes				55
DNase	E128	NHLF_Lung_Fibroblasts					55
H2A.Z	E003	H1_Cell_Line						140
H2A.Z	E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells		140
H2A.Z	E006	H1_Derived_Mesenchymal_Stem_Cells			130
H2A.Z	E008	H9_Cell_Line						130
H2A.Z	E009	H9_Derived_Neuronal_Progenitor_Cultured_Cells		190
H2A.Z	E010	H9_Derived_Neuron_Cultured_Cells			310
H2A.Z	E017	IMR90_Cell_Line						130
H2A.Z	E114	A549_EtOH_0.02pct_Lung_Carcinoma			240
H2A.Z	E115	Dnd41_TCell_Leukemia					140
H2A.Z	E116	GM12878_Lymphoblastoid					150
H2A.Z	E117	HeLa-S3_Cervical_Carcinoma				155
H2A.Z	E118	HepG2_Hepatocellular_Carcinoma				180
H2A.Z	E119	HMEC_Mammary_Epithelial					175
H2A.Z	E120	HSMM_Skeletal_Muscle_Myoblasts				150
H2A.Z	E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	180
H2A.Z	E122	HUVEC_Umbilical_Vein_Endothelial_Cells			150
H2A.Z	E123	K562_Leukemia						150
H2A.Z	E124	Monocytes-CD14+_RO01746					225
H2A.Z	E125	NH-A_Astrocytes						175
H2A.Z	E126	NHDF-Ad_Adult_Dermal_Fibroblasts			170
H2A.Z	E127	NHEK-Epidermal_Keratinocytes				140
H2A.Z	E128	NHLF_Lung_Fibroblasts					135
H2A.Z	E129	Osteoblasts						170
H2AK5ac	E003	H1_Cell_Line						100
H2AK5ac	E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells		130
H2AK5ac	E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells		135
H2AK5ac	E006	H1_Derived_Mesenchymal_Stem_Cells			120
H2AK5ac	E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells		100
H2AK5ac	E008	H9_Cell_Line						120
H2AK5ac	E017	IMR90_Cell_Line						100
H2AK9ac	E017	IMR90_Cell_Line						120
H3K27ac	E003	H1_Cell_Line						110
H3K27ac	E004	H1_BMP4_Derived_Mesendoderm_Cultured_Cells		140
H3K27ac	E005	H1_BMP4_Derived_Trophoblast_Cultured_Cells		145
H3K27ac	E006	H1_Derived_Mesenchymal_Stem_Cells			130
H3K27ac	E007	H1_Derived_Neuronal_Progenitor_Cultured_Cells		135
H3K27ac	E008	H9_Cell_Line						90
H3K27ac	E011	hESC_Derived_CD184+_Endoderm_Cultured_Cells		190
H3K27ac	E012	hESC_Derived_CD56+_Ectoderm_Cultured_Cells		195
H3K27ac	E013	hESC_Derived_CD56+_Mesoderm_Cultured_Cells		215
H3K27ac	E014	HUES48_Cell_Line					170
H3K27ac	E015	HUES6_Cell_Line						210
H3K27ac	E016	HUES64_Cell_Line					175
H3K27ac	E017	IMR90_Cell_Line						130
H3K27ac	E019	iPS-18_Cell_Line					205
H3K27ac	E020	iPS-20b_Cell_Line					240
H3K27ac	E021	iPS_DF_6.9_Cell_Line					90
H3K27ac	E022	iPS_DF_19.11_Cell_Line					120
H3K27ac	E026	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	255
H3K27ac	E029	CD14_Primary_Cells						220
H3K27ac	E032	CD19_Primary_Cells_Peripheral_UW				175
H3K27ac	E034	CD3_Primary_Cells_Peripheral_UW					180
H3K27ac	E037	CD4_Memory_Primary_Cells					235
H3K27ac	E038	CD4_Naive_Primary_Cells						245
H3K27ac	E039	CD4+_CD25-_CD45RA+_Naive_Primary_Cells				210
H3K27ac	E040	CD4+_CD25-_CD45RO+_Memory_Primary_Cells				270
H3K27ac	E041	CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells	250
H3K27ac	E042	CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells			205
H3K27ac	E043	CD4+_CD25-_Th_Primary_Cells							235
H3K27ac	E044	CD4+_CD25+_CD127-_Treg_Primary_Cells						225
H3K27ac	E045	CD4+_CD25int_CD127+_Tmem_Primary_Cells						200
H3K27ac	E046	CD56_Primary_Cells								175
H3K27ac	E047	CD8_Naive_Primary_Cells								235
H3K27ac	E048	CD8_Memory_Primary_Cells							250
H3K27ac	E049	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells	265
H3K27ac	E050	Mobilized_CD34_Primary_Cells_Female						225
H3K27ac	E055	Penis_Foreskin_Fibroblast_Primary_Cells_skin01					160
H3K27ac	E056	Penis_Foreskin_Fibroblast_Primary_Cells_skin02					155
H3K27ac	E058	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03				180
H3K27ac	E059	Penis_Foreskin_Melanocyte_Primary_Cells_skin01					140
H3K27ac	E061	Penis_Foreskin_Melanocyte_Primary_Cells_skin03					155
H3K27ac	E062	Peripheral_Blood_Mononuclear_Primary_Cells					180
H3K27ac	E063	Adipose_Nuclei									290
H3K27ac	E065	Aorta										130
H3K27ac	E066	Adult_Liver									230
H3K27ac	E067	Brain_Angular_Gyrus								215
H3K27ac	E068	Brain_Anterior_Caudate								190
H3K27ac	E069	Brain_Cingulate_Gyrus								220
H3K27ac	E071	Brain_Hippocampus_Middle							240
H3K27ac	E072	Brain_Inferior_Temporal_Lobe							255
H3K27ac	E073	Brain_Mid_Frontal_Lobe								195
H3K27ac	E074	Brain_Substantia_Nigra								200
H3K27ac	E075	Colonic_Mucosa									165
H3K27ac	E076	Colon_Smooth_Muscle								185
H3K27ac	E078	Duodenum_Smooth_Muscle								250
H3K27ac	E079	Esophagus									145
H3K27ac	E080	Fetal_Adrenal_Gland								185
H3K27ac	E084	Fetal_Intestine_Large								170
H3K27ac	E085	Fetal_Intestine_Small								160
H3K27ac	E087	Pancreatic_Islets								165
H3K27ac	E089	Fetal_Muscle_Trunk								195
H3K27ac	E090	Fetal_Muscle_Leg								160
H3K27ac	E091	Fetal_Placenta									200
H3K27ac	E092	Fetal_Stomach									185
H3K27ac	E093	Fetal_Thymus									160
H3K27ac	E094	Gastric										175
H3K27ac	E095	Left_Ventricle									160
H3K27ac	E096	Lung										130
H3K27ac	E097	Ovary										100
H3K27ac	E098	Pancreas									150
H3K27ac	E099	Placenta_Amnion									210
H3K27ac	E100	Psoas_Muscle									125
H3K27ac	E101	Rectal_Mucosa.Donor_29								195
H3K27ac	E102	Rectal_Mucosa.Donor_31								180
H3K27ac	E103	Rectal_Smooth_Muscle								175
H3K27ac	E104	Right_Atrium									140
H3K27ac	E105	Right_Ventricle									105
H3K27ac	E106	Sigmoid_Colon									140
H3K27ac	E108	Skeletal_Muscle_Female								275
H3K27ac	E109	Small_Intestine									130
H3K27ac	E111	Stomach_Smooth_Muscle								255
H3K27ac	E112	Thymus										120
H3K27ac	E113	Spleen										175
H3K27ac	E114	A549_EtOH_0.02pct_Lung_Carcinoma						255
H3K27ac	E115	Dnd41_TCell_Leukemia								165
H3K27ac	E116	GM12878_Lymphoblastoid								185
H3K27ac	E117	HeLa-S3_Cervical_Carcinoma							215
H3K27ac	E118	HepG2_Hepatocellular_Carcinoma							185
H3K27ac	E119	HMEC_Mammary_Epithelial								180
H3K27ac	E120	HSMM_Skeletal_Muscle_Myoblasts							175
H3K27ac	E121	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM				210
H3K27ac	E122	HUVEC_Umbilical_Vein_Endothelial_Cells						215
H3K27ac	E123	K562_Leukemia									165
H3K27ac	E124	Monocytes-CD14+_RO01746								240
H3K27ac	E125	NH-A_Astrocytes									175
H3K27ac	E126	NHDF-Ad_Adult_Dermal_Fibroblasts						160
H3K27ac	E127	NHEK-Epidermal_Keratinocytes							185
